epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4415.97,0.95627,0.54902,1.14244,0.99471,0.98632,0.99466,0.7815,0.85723,0.3988,1.09663,0.000990365,0.000990365,0.000990365
43,4515.78,0.98156,0.54318,1.13224,0.98954,0.99313,0.99429,0.79023,0.80664,0.38749,1.07431,0.000973861,0.000973861,0.000973861
44,4617.05,0.96302,0.53116,1.13006,0.98697,0.99433,0.99435,0.80449,0.79773,0.38687,1.06582,0.000957358,0.000957358,0.000957358
45,4718.39,0.92747,0.50038,1.11141,0.984,0.99213,0.99444,0.80329,0.79492,0.38531,1.06355,0.000940855,0.000940855,0.000940855
46,4819.86,0.93521,0.51505,1.12072,0.99213,0.99256,0.99492,0.81905,0.76916,0.37477,1.03971,0.000924352,0.000924352,0.000924352
47,4921.34,0.94064,0.50582,1.12859,0.98994,0.9895,0.9946,0.80105,0.82087,0.39216,1.07249,0.000907848,0.000907848,0.000907848
48,5021.87,0.93894,0.52867,1.12313,0.98954,0.9934,0.99435,0.81866,0.7589,0.36705,1.04046,0.000891345,0.000891345,0.000891345
49,5124.13,0.94885,0.53499,1.13436,0.98917,0.9895,0.9938,0.81136,0.76618,0.36634,1.04853,0.000874842,0.000874842,0.000874842
50,5226.7,0.9045,0.50225,1.11547,0.99736,0.99136,0.99484,0.82654,0.73211,0.37346,1.01685,0.000858338,0.000858338,0.000858338
51,5329.99,0.88104,0.49757,1.09693,0.99211,0.98949,0.9945,0.82352,0.7427,0.36766,1.02872,0.000841835,0.000841835,0.000841835
52,5431.49,0.88787,0.48644,1.09369,0.99395,0.9895,0.99399,0.82931,0.70896,0.34307,1.01012,0.000825332,0.000825332,0.000825332
53,5532.44,0.87593,0.49158,1.07506,0.99214,0.99449,0.99463,0.81974,0.75808,0.36224,1.03378,0.000808828,0.000808828,0.000808828
54,5632.65,0.8346,0.4693,1.07011,0.99214,0.99341,0.99495,0.84075,0.69613,0.34643,1.00125,0.000792325,0.000792325,0.000792325
55,5733.06,0.8693,0.49083,1.08265,0.99474,0.9924,0.99487,0.84342,0.69862,0.3404,1.00299,0.000775822,0.000775822,0.000775822
56,5834.58,0.82853,0.44541,1.05885,0.9926,0.99213,0.99495,0.85583,0.65291,0.3232,0.97462,0.000759318,0.000759318,0.000759318
57,5936.01,0.8249,0.45747,1.05986,0.99216,0.99685,0.99487,0.84356,0.68059,0.3325,0.98797,0.000742815,0.000742815,0.000742815
58,6037.71,0.8337,0.46077,1.06736,0.99735,0.98848,0.99495,0.83646,0.7144,0.3401,1.00853,0.000726312,0.000726312,0.000726312
59,6140.59,0.82125,0.44863,1.05524,0.99477,0.99874,0.99492,0.85545,0.65032,0.31876,0.96985,0.000709809,0.000709809,0.000709809
60,6242.14,0.8161,0.46537,1.0532,1,0.99157,0.995,0.84959,0.66329,0.32107,0.9763,0.000693305,0.000693305,0.000693305
61,6343.31,0.87088,0.46531,1.08655,0.9946,1,0.995,0.84557,0.66303,0.3161,0.97977,0.000676802,0.000676802,0.000676802
62,6445.03,0.79699,0.43841,1.05274,0.99212,0.99738,0.99489,0.85221,0.65035,0.31419,0.96796,0.000660299,0.000660299,0.000660299
63,6546.25,0.83534,0.45355,1.07249,0.99375,1,0.99479,0.85743,0.63057,0.30396,0.95556,0.000643795,0.000643795,0.000643795
64,6647.71,0.81884,0.44403,1.05634,0.98354,1,0.9945,0.85303,0.65377,0.31875,0.96985,0.000627292,0.000627292,0.000627292
65,6749.01,0.80582,0.43106,1.05987,0.99668,0.99738,0.9949,0.86889,0.5928,0.29438,0.93862,0.000610789,0.000610789,0.000610789
66,6849.76,0.76903,0.42542,1.03245,0.99611,0.99475,0.99495,0.86251,0.60588,0.29491,0.94651,0.000594286,0.000594286,0.000594286
67,6950.15,0.79333,0.44015,1.04617,0.99478,0.99947,0.99497,0.85207,0.63441,0.29817,0.957,0.000577782,0.000577782,0.000577782
68,7051.14,0.76521,0.42566,1.03188,0.99705,1,0.995,0.86736,0.60662,0.29801,0.93883,0.000561279,0.000561279,0.000561279
69,7152.07,0.77219,0.43248,1.00717,0.99737,0.99606,0.995,0.8732,0.57906,0.28901,0.93064,0.000544776,0.000544776,0.000544776
70,7253.73,0.74411,0.40977,1.0114,0.99459,1,0.995,0.87689,0.57253,0.27849,0.93127,0.000528272,0.000528272,0.000528272
71,7355.06,0.72432,0.3976,1.00472,0.99738,0.99893,0.995,0.87908,0.56871,0.27937,0.92758,0.000511769,0.000511769,0.000511769
72,7457.1,0.70734,0.40026,1.00545,0.99704,0.99738,0.995,0.87575,0.57233,0.28015,0.92871,0.000495266,0.000495266,0.000495266
73,7558.14,0.71435,0.38805,1.02504,0.99737,0.99682,0.995,0.87799,0.58723,0.28679,0.93509,0.000478762,0.000478762,0.000478762
74,7659.6,0.73614,0.39402,1.02549,0.99651,1,0.995,0.87969,0.58,0.28011,0.93299,0.000462259,0.000462259,0.000462259
75,7761.17,0.70599,0.38492,0.99341,0.99738,0.99989,0.99497,0.87731,0.55934,0.27802,0.92279,0.000445756,0.000445756,0.000445756
76,7862.2,0.69003,0.37851,0.99418,0.99717,1,0.995,0.89143,0.52884,0.26123,0.90603,0.000429253,0.000429253,0.000429253
77,7963.25,0.64311,0.35359,0.96732,0.99712,1,0.995,0.89014,0.52185,0.25984,0.90486,0.000412749,0.000412749,0.000412749
78,8064.02,0.66803,0.3542,0.9695,0.99716,0.99738,0.995,0.89341,0.52834,0.25944,0.90235,0.000396246,0.000396246,0.000396246
79,8166.2,0.69365,0.38338,0.99803,1,0.99985,0.995,0.89342,0.51912,0.24891,0.8948,0.000379743,0.000379743,0.000379743
