epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2555.64,1.07396,0.76053,1.27543,0.97063,0.97156,0.98679,0.77108,0.82468,0.50325,1.18056,0.000990365,0.000990365,0.000990365
43,2615.34,1.06309,0.79943,1.33115,0.96378,0.97156,0.9864,0.77757,0.80661,0.50467,1.16881,0.000973861,0.000973861,0.000973861
44,2674.89,1.01986,0.71026,1.23973,0.97346,0.98104,0.98643,0.78544,0.78068,0.48953,1.14005,0.000957358,0.000957358,0.000957358
45,2735.56,0.98021,0.66744,1.22318,0.97439,0.9763,0.98834,0.78519,0.80704,0.50133,1.15733,0.000940855,0.000940855,0.000940855
46,2797.21,0.9673,0.67529,1.20464,0.98885,0.9763,0.99115,0.77656,0.78953,0.48019,1.15074,0.000924352,0.000924352,0.000924352
47,2858.74,0.99723,0.6987,1.27849,0.97295,0.9763,0.9905,0.80026,0.75191,0.46055,1.13032,0.000907848,0.000907848,0.000907848
48,2928.51,0.95286,0.63815,1.20792,0.94968,0.97156,0.98497,0.79783,0.76268,0.46827,1.13353,0.000891345,0.000891345,0.000891345
49,2990.68,0.97311,0.70577,1.25229,0.9123,0.96682,0.97927,0.79794,0.70567,0.49355,1.09141,0.000874842,0.000874842,0.000874842
50,3051.07,0.94304,0.66107,1.22664,0.94937,0.97756,0.98553,0.80575,0.73222,0.46508,1.11297,0.000858338,0.000858338,0.000858338
51,3111.55,0.96739,0.68786,1.23332,0.98061,0.95868,0.98879,0.80582,0.73398,0.44515,1.10894,0.000841835,0.000841835,0.000841835
52,3171.93,0.98086,0.67796,1.21805,0.95252,0.95088,0.9846,0.76623,0.83719,0.51683,1.18285,0.000825332,0.000825332,0.000825332
53,3236.91,0.96146,0.67077,1.20136,0.96749,0.97156,0.98907,0.8074,0.71478,0.44794,1.09439,0.000808828,0.000808828,0.000808828
54,3297.89,0.92156,0.65302,1.19586,0.9713,0.98104,0.99046,0.80462,0.72134,0.45211,1.10664,0.000792325,0.000792325,0.000792325
55,3364.06,0.91302,0.64092,1.18654,0.96543,0.9763,0.98976,0.80535,0.74099,0.45388,1.10113,0.000775822,0.000775822,0.000775822
56,3428.12,0.9147,0.66789,1.20444,0.9893,0.9763,0.99233,0.82382,0.69661,0.42186,1.08817,0.000759318,0.000759318,0.000759318
57,3489.85,0.97314,0.71996,1.23789,0.98008,0.9763,0.99087,0.80498,0.72675,0.45223,1.09577,0.000742815,0.000742815,0.000742815
58,3549.6,0.9133,0.61463,1.18315,0.97629,0.97566,0.99239,0.82237,0.67839,0.43201,1.0764,0.000726312,0.000726312,0.000726312
59,3609.41,0.93993,0.62391,1.21015,0.98012,0.98104,0.99243,0.82543,0.67584,0.40681,1.07077,0.000709809,0.000709809,0.000709809
60,3671.12,0.88297,0.60489,1.18878,0.98564,0.97598,0.99297,0.84547,0.6557,0.39252,1.07354,0.000693305,0.000693305,0.000693305
61,3732.21,0.86752,0.60661,1.15843,0.97186,0.98192,0.99271,0.84351,0.64434,0.41281,1.05393,0.000676802,0.000676802,0.000676802
62,3791.35,0.85649,0.59251,1.18008,0.97222,0.97156,0.99089,0.83754,0.66212,0.39956,1.05547,0.000660299,0.000660299,0.000660299
63,3848.15,0.86985,0.64258,1.17514,0.97117,0.98104,0.99103,0.84391,0.64582,0.38773,1.0497,0.000643795,0.000643795,0.000643795
64,3906.42,0.82403,0.5666,1.13992,0.97937,0.99052,0.99121,0.84409,0.63479,0.36792,1.04563,0.000627292,0.000627292,0.000627292
65,3966.62,0.88178,0.5637,1.16951,0.96302,1,0.99051,0.84112,0.64726,0.37436,1.04141,0.000610789,0.000610789,0.000610789
66,4026.45,0.83623,0.54573,1.1087,0.96277,0.98044,0.99171,0.84296,0.61297,0.39264,1.03361,0.000594286,0.000594286,0.000594286
67,4087.41,0.8825,0.56442,1.15342,0.97351,0.98578,0.99163,0.85664,0.60305,0.37459,1.02424,0.000577782,0.000577782,0.000577782
68,4147.98,0.76842,0.51178,1.07532,0.96298,0.98613,0.99214,0.85835,0.59033,0.36131,1.01475,0.000561279,0.000561279,0.000561279
69,4208.45,0.82394,0.55244,1.14733,0.97976,0.9763,0.99175,0.87009,0.58436,0.35318,1.01186,0.000544776,0.000544776,0.000544776
70,4268.93,0.8072,0.54423,1.13592,0.97662,0.99002,0.99038,0.84652,0.61985,0.37179,1.02423,0.000528272,0.000528272,0.000528272
71,4329.62,0.76256,0.53015,1.11072,0.97358,0.98578,0.98967,0.85127,0.59254,0.36578,1.02148,0.000511769,0.000511769,0.000511769
72,4386.33,0.77783,0.53604,1.10772,0.98077,0.99526,0.9907,0.86048,0.58288,0.35334,1.00887,0.000495266,0.000495266,0.000495266
73,4442.86,0.76078,0.50134,1.09905,0.97671,0.99359,0.99027,0.86829,0.56331,0.346,1.00032,0.000478762,0.000478762,0.000478762
74,4495.74,0.71759,0.47866,1.06133,0.97523,1,0.98963,0.87286,0.54777,0.33916,0.98997,0.000462259,0.000462259,0.000462259
75,4548.82,0.75308,0.49754,1.09242,0.98425,1,0.99117,0.86841,0.58116,0.35378,0.99987,0.000445756,0.000445756,0.000445756
76,4601.25,0.77084,0.54779,1.11791,0.9767,0.99318,0.99148,0.87193,0.54753,0.3481,0.98491,0.000429253,0.000429253,0.000429253
77,4653.99,0.7528,0.52861,1.11436,0.97462,0.99526,0.99148,0.86617,0.56157,0.34824,0.99538,0.000412749,0.000412749,0.000412749
78,4708.97,0.75955,0.51498,1.08739,0.97106,0.99526,0.99057,0.87593,0.57196,0.3523,1.00696,0.000396246,0.000396246,0.000396246
79,4768.41,0.74391,0.49992,1.08712,0.97759,0.99526,0.99244,0.88486,0.52571,0.32714,0.97809,0.000379743,0.000379743,0.000379743
80,4827.14,0.72411,0.47695,1.06454,0.97664,0.99076,0.99258,0.8864,0.51353,0.32523,0.97269,0.000363239,0.000363239,0.000363239
81,4888.93,0.72072,0.46612,1.06818,0.97912,0.99526,0.99202,0.8787,0.53008,0.32588,0.97501,0.000346736,0.000346736,0.000346736
82,4947.46,0.70904,0.48096,1.06633,0.97675,0.99566,0.99181,0.87948,0.52031,0.32664,0.96623,0.000330233,0.000330233,0.000330233
83,5008.92,0.69339,0.45466,1.04538,0.9813,0.99457,0.99235,0.88131,0.51138,0.32495,0.96542,0.000313729,0.000313729,0.000313729
84,5069.61,0.67098,0.45948,1.04459,0.98399,0.99052,0.99226,0.88091,0.50679,0.3194,0.96328,0.000297226,0.000297226,0.000297226
85,5131.16,0.68606,0.46603,1.0572,0.98892,0.99052,0.99227,0.88801,0.48835,0.30028,0.95199,0.000280723,0.000280723,0.000280723
86,5192.47,0.65724,0.42796,1.02543,0.98567,0.99526,0.99245,0.89324,0.48891,0.30391,0.94646,0.00026422,0.00026422,0.00026422
87,5255.95,0.64159,0.43239,1.0363,0.98526,0.99526,0.99219,0.894,0.48363,0.30326,0.94702,0.000247716,0.000247716,0.000247716
88,5317.94,0.66698,0.42921,1.04616,0.98588,0.99249,0.99243,0.90208,0.48724,0.30259,0.94886,0.000231213,0.000231213,0.000231213
89,5381.77,0.61618,0.42595,1.01159,0.9855,1,0.9924,0.89712,0.48171,0.29979,0.9432,0.00021471,0.00021471,0.00021471
90,5442.68,0.64387,0.4496,1.01628,0.98598,0.99972,0.99212,0.89318,0.48649,0.29841,0.94473,0.000198206,0.000198206,0.000198206
91,5510.44,0.55054,0.36875,0.98705,0.98139,0.99965,0.99215,0.89841,0.47492,0.29483,0.94152,0.000181703,0.000181703,0.000181703
92,5570.31,0.53227,0.33976,0.97454,0.97971,0.99526,0.99256,0.9031,0.47055,0.29712,0.93941,0.0001652,0.0001652,0.0001652
93,5628.95,0.53044,0.34513,0.97086,0.98138,0.99893,0.99293,0.90096,0.467,0.29598,0.93402,0.000148696,0.000148696,0.000148696
94,5686.04,0.55469,0.35004,1.00992,0.97681,0.99821,0.9929,0.90575,0.45906,0.28809,0.93221,0.000132193,0.000132193,0.000132193
95,5744.4,0.54595,0.34006,0.99948,0.98135,0.9975,0.99251,0.91571,0.44493,0.28957,0.92141,0.00011569,0.00011569,0.00011569
96,5809.36,0.51628,0.32638,0.96686,0.98588,0.99299,0.99256,0.91822,0.44713,0.28353,0.9204,9.91865e-05,9.91865e-05,9.91865e-05
97,5870.24,0.50769,0.32069,0.96185,0.98598,0.99978,0.99286,0.91743,0.43485,0.27927,0.91636,8.26832e-05,8.26832e-05,8.26832e-05
98,5934.25,0.48157,0.31258,0.92805,0.98472,0.99526,0.9932,0.91838,0.42725,0.27895,0.91596,6.61799e-05,6.61799e-05,6.61799e-05
99,6032.96,0.50231,0.33008,0.96396,0.98418,0.99526,0.9934,0.91854,0.42487,0.27616,0.91538,4.96766e-05,4.96766e-05,4.96766e-05
100,6125.51,0.47789,0.31712,0.95822,0.98357,0.99526,0.99331,0.92013,0.4216,0.27586,0.91505,3.31733e-05,3.31733e-05,3.31733e-05
